Example,Query Caption,Retrieved 1,Retrieved 2,Retrieved 3
1,"A group of Arabic folk musicians play this poignant folk music . The song is medium tempo with percussion instruments playing  a steady rhythm, a stringed instrument like violin plays a solo accompanied by other string instruments playing rhythm. The song is poignant and melancholic. The song is a traditional Arabic folk dance song.","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing.",This is a rock music piece with a male vocal. The synth and the piano are playing the main melody in a minor scale while the bass guitar is supporting them in the background. The rhythm is played by acoustic drums although it is rather slow. The song has a sad atmosphere. It could be played in the background of emotional online content.,This is an instrumental power metal piece. There is an electric guitar playing the melody with the accompaniment of a keyboard. There is an acoustic drum beat in the rhythmic background. There is an aggressive atmosphere. This piece could be used in the soundtrack of an action video game.
2,"The low quality recording features a cover of a rock song and it contains sad theremin lead melody played over playback instrumental that consists arpeggiated electric guitar melody and mellow rimshots in the right channel of the stereo image, smooth bass guitar that leans towards the left channel and shimmering cymbals. It sounds emotional, sad and passionate.","This music is a western classical instrumental. The tempo is slow with a cello solo. The music is soft, rich, deep, mellow, euphonious, pensive, melancholic, emotional and sentimental.",Someone is playing a rock/funk riff on an e-guitar with a lot of low end. Then a male voice starts speaking. This song may be playing during a guitar lesson.,"The low quality recording features an arpeggiated acoustic guitar. It sounds mellow, soft, emotional and sad."
3,"The low quality recording features a flat male vocal talking and playing a groovy accordion melody, before which a male and a female laugh. It sounds passionate and groovy.","The low quality recording features a hip hop song sung with an addictive flow by flat double male vocals over arpeggiated piano melody, boomy, layered bass and kick hits, soft crash cymbal and claps. It sounds muddy and messy as the mix of the song is bad making the frequencies clash with each other - especially in the low end.","This music is instrumental. The tempo is fast with lively percussion rhythms of the drums, cymbal riffs, congas, bongos, steel pan and piano accompaniment. The music is lively, spirited, engaging, funky, groovy and buoyant. This music is a percussive instrumental.",This song contains a composition played on an acoustic 12 string guitar strumming fast chords while another guitar is playing a fast paced melody in a higher key. The whole pattern repeats itself. This song may be playing in an Irish bar.
4,This audio contains a female voice speaking in a relaxed and sensual sounding way while you can hear the sound of scratching on a surface.,The low quality recording features echoing sleep drone sound effects. It sounds weird and cool at the same time. The recording is noisy and in mono.,The low quality recording features a resonating bowl tone. It sounds calming and the recording is noisy and in mono.,This is the live recording of a classical music recital. There is a harp being played in an innovative manner that combines both the melodic and the rhythmic aspects of the instrument. The atmosphere of the piece is dreamy. It could be used in the soundtrack of a calm video game or a nature documentary.
5,This is a hip-hop music piece. There is a male vocal rapping at the forefront while there are repetitions and ad-libs that can be heard in the background. An eerie sounding melodic pad is playing the melody. There is a strong bass. The rhythmic background is composed of a hip-hop electronic drum beat. The atmosphere is unnerving. This piece could be playing in a scene where criminal activities are occurring in a crime/noir movie taking place in a big city.,"The techno music excerpt features only a beat, no other melodic or harmonic instruments. By the sound of it, the beat was made using sampled drums. Other percussive instruments can be heard in the background. This music would be played in a club.","The Rock song features a passionate male vocalist singing over wide electric guitar melodies, groovy bass guitar, shimmering cymbals, groovy toms, punchy snare and kick hits. It sounds energetic, passionate, emotional and loud.","A female singer sings and chants with Emily. The tempo is fast with a quick drumming rhythm, percussive bass line, strong drumming rhythm and keyboard accompaniment. The song is exciting  and energetic. The song is an anime show soundtrack."
6,"The low quality video features a filtered male breathing sound effects, muffled male screaming sound effects, monster roar sound effects and wide strings rising melody. It sounds intense and suspenseful, almost like some old horror movie with low quality sound.",This song contains female voices singing in a soul fashion along to a piano and trumpets playing a finale. An acoustic drum is playing a closing cymbal hit at the end. Then the crowd starts clapping and cheering. This song may be playing as part of a movie scene.,Someone is playing a distorted e-guitar. Finger-tapping a classical music piece. This is an amateur recording and not of the best sound-quality. This song may be playing at home showing off your skills to a friend.,"A male vocalist sings this animated melody. The tempo is medium with loud vocals, incoherent lyrics and synthesised choral harmony followed by white noise."
7,This song contains a digital drum with a soft subbass. A male voice is rapping along to a repeating male and also female voice sample. The male voice sample uses a harmonizer effect. A riser is preparing the next part of the song. A metallophone/marimba melody is repeating itself through the duration of the whole song. This song may be playing in an urban bar.,"A male singer sings this beautiful melody with backup singers in vocal harmony. The song is medium tempo with a percussive string section, strong bass line, guitar lead, steady drumming rhythm , keyboard accompaniment and various percussion clicks. The song is emotional and romantic. The song is of poor audio quality.","The low quality recording features a hip hop song sung with an addictive flow by flat double male vocals over arpeggiated piano melody, boomy, layered bass and kick hits, soft crash cymbal and claps. It sounds muddy and messy as the mix of the song is bad making the frequencies clash with each other - especially in the low end.","This is a cover performance of a pop music song. There is a male vocalist singing very loudly, but at the same time slightly out of tune. The piano track plays the melody, however there is a poor transposition of the piano sound making it sound corrupted."
8,The low quality recording features a resonating bowl tone. It sounds calming and the recording is noisy and in mono.,The low quality recording features echoing sleep drone sound effects. It sounds weird and cool at the same time. The recording is noisy and in mono.,This audio contains a shofar horn getting blown in a higher register. The high tone is loud and drops in pitch at the end. This song may be playing live in a village calling for a traditional ceremony.,"The low quality recording features an arpeggiated acoustic guitar. It sounds mellow, soft, emotional and sad."
9,This is an instrumental power metal piece. There is an electric guitar playing the melody with the accompaniment of a keyboard. There is an acoustic drum beat in the rhythmic background. There is an aggressive atmosphere. This piece could be used in the soundtrack of an action video game.,"The low quality recording features a hip hop song sung with an addictive flow by flat double male vocals over arpeggiated piano melody, boomy, layered bass and kick hits, soft crash cymbal and claps. It sounds muddy and messy as the mix of the song is bad making the frequencies clash with each other - especially in the low end.","A male vocalist sings this spirited song. The tempo is fast with trumpets, keyboard harmony, steady drumming and simple bass lines along with vocal backup. The song is happy, energetic, enthusiastic, popular, peppy, vivacious and celebratory. There are sounds in the background of people talking, hooting, cheering and scuttling and rustling. This is a popular Folk/Regional song.",This is a hip-hop music piece. There is a male vocal rapping at the forefront while there are repetitions and ad-libs that can be heard in the background. An eerie sounding melodic pad is playing the melody. There is a strong bass. The rhythmic background is composed of a hip-hop electronic drum beat. The atmosphere is unnerving. This piece could be playing in a scene where criminal activities are occurring in a crime/noir movie taking place in a big city.
10,This gothic rock song features a male voice singing the main melody. The melody is repetitive for each line. This is accompanied by percussion playing a simple rock beat in common time. A distortion guitar plays power chords. A synth plays a high pitched repetitive melody. This song has a suspenseful feel. This song can be played in a horror movie.,This is a pop music piece. The words are being sung by two vocals: one male and one female which lead to a duet for the chorus. There is a banjo and an electric guitar playing the melody while a simple electronic drum beat provides the rhythmic background for the song. It is a slightly melodic and emotional song. This piece could be used in the soundtrack of a romantic drama during a flashback scene.,This is a country music piece. There is a female vocalist singing melodically as the lead at a medium-to-high range. A mandolin is playing the main theme while being backed by a bass guitar. The rhythmic background consists of a simple 4/4 acoustic drum beat.,This is a hip-hop music piece. There is a male vocal rapping at the forefront while there are repetitions and ad-libs that can be heard in the background. An eerie sounding melodic pad is playing the melody. There is a strong bass. The rhythmic background is composed of a hip-hop electronic drum beat. The atmosphere is unnerving. This piece could be playing in a scene where criminal activities are occurring in a crime/noir movie taking place in a big city.
