Caption,Task 4 Zero-Shot,Task 3 Supervised
"A group of Arabic folk musicians play this poignant folk music . The song is medium tempo with percussion instruments playing  a steady rhythm, a stringed instrument like violin plays a solo accompanied by other string instruments playing rhythm. The song is poignant and melancholic. The song is a traditional Arabic folk dance song.","['folk', 'rock', 'pop']","['indian', 'sitar', 'drums']"
"The low quality recording features a cover of a rock song and it contains sad theremin lead melody played over playback instrumental that consists arpeggiated electric guitar melody and mellow rimshots in the right channel of the stereo image, smooth bass guitar that leans towards the left channel and shimmering cymbals. It sounds emotional, sad and passionate.","['hip-hop', 'dark', 'pop']","['guitar', 'rock', 'drums']"
"The low quality recording features a flat male vocal talking and playing a groovy accordion melody, before which a male and a female laugh. It sounds passionate and groovy.","['pop', 'hip-hop', 'folk']","['guitar', 'drums', 'rock']"
This audio contains a female voice speaking in a relaxed and sensual sounding way while you can hear the sound of scratching on a surface.,"['folk', 'metal', 'rock']","['female', 'drums', 'woman']"
This is a hip-hop music piece. There is a male vocal rapping at the forefront while there are repetitions and ad-libs that can be heard in the background. An eerie sounding melodic pad is playing the melody. There is a strong bass. The rhythmic background is composed of a hip-hop electronic drum beat. The atmosphere is unnerving. This piece could be playing in a scene where criminal activities are occurring in a crime/noir movie taking place in a big city.,"['pop', 'energetic', 'folk']","['drums', 'fast', 'techno']"
"The low quality video features a filtered male breathing sound effects, muffled male screaming sound effects, monster roar sound effects and wide strings rising melody. It sounds intense and suspenseful, almost like some old horror movie with low quality sound.","['folk', 'sad', 'happy']","['drums', 'female', 'vocal']"
This song contains a digital drum with a soft subbass. A male voice is rapping along to a repeating male and also female voice sample. The male voice sample uses a harmonizer effect. A riser is preparing the next part of the song. A metallophone/marimba melody is repeating itself through the duration of the whole song. This song may be playing in an urban bar.,"['pop', 'folk', 'rock']","['drums', 'fast', 'beat']"
The low quality recording features a resonating bowl tone. It sounds calming and the recording is noisy and in mono.,"['calm', 'metal', 'jazz']","['drums', 'guitar', 'slow']"
This is an instrumental power metal piece. There is an electric guitar playing the melody with the accompaniment of a keyboard. There is an acoustic drum beat in the rhythmic background. There is an aggressive atmosphere. This piece could be used in the soundtrack of an action video game.,"['rock', 'folk', 'pop']","['drums', 'fast', 'guitar']"
This gothic rock song features a male voice singing the main melody. The melody is repetitive for each line. This is accompanied by percussion playing a simple rock beat in common time. A distortion guitar plays power chords. A synth plays a high pitched repetitive melody. This song has a suspenseful feel. This song can be played in a horror movie.,"['rock', 'pop', 'folk']","['drums', 'indian', 'fast']"
